retailer_id,tenant_id,retailer_name,retailer_type,warehouse_id,city,region,credit_days,active
RET-001,TEN-ACME-PHARMA,Demo Retailer 001,PHARMACY,WH-CHENNAI,Chennai,INDIA,45,true
RET-002,TEN-ACME-PHARMA,Demo Retailer 002,PHARMACY,WH-BENGALURU,Bengaluru,INDIA,45,true
RET-003,TEN-ACME-PHARMA,Demo Retailer 003,PHARMACY,WH-HYDERABAD,Hyderabad,INDIA,15,true
RET-004,TEN-FRESH-MART,Demo Retailer 004,SUPERMARKET,WH-DELHI,Delhi,INDIA,45,true
RET-005,TEN-FRESH-MART,Demo Retailer 005,SUPERMARKET,WH-MUMBAI,Mumbai,INDIA,30,true
RET-006,TEN-URBAN-TRADE,Demo Retailer 006,GENERAL_STORE,WH-PUNE,Pune,INDIA,15,true
RET-007,TEN-ACME-PHARMA,Demo Retailer 007,PHARMACY,WH-CHENNAI,Chennai,INDIA,30,true
RET-008,TEN-ACME-PHARMA,Demo Retailer 008,PHARMACY,WH-BENGALURU,Bengaluru,INDIA,30,true
RET-009,TEN-ACME-PHARMA,Demo Retailer 009,PHARMACY,WH-HYDERABAD,Hyderabad,INDIA,15,true
RET-010,TEN-FRESH-MART,Demo Retailer 010,SUPERMARKET,WH-DELHI,Delhi,INDIA,45,true
RET-011,TEN-FRESH-MART,Demo Retailer 011,SUPERMARKET,WH-MUMBAI,Mumbai,INDIA,15,true
RET-012,TEN-URBAN-TRADE,Demo Retailer 012,GENERAL_STORE,WH-PUNE,Pune,INDIA,30,true
