sku_id,tenant_id,sku_name,vertical,category,base_uom,unit_cost,selling_price,currency,minimum_safety_stock,reorder_multiple,default_shelf_life_days,fefo_required,demand_profile,active
SKU-PARA-650,TEN-ACME-PHARMA,Paracetamol 650mg Tablet,PHARMA,MEDICINE,UNIT,18.5,25.0,INR,500,100,730,true,STABLE,true
SKU-PHA-002,TEN-ACME-PHARMA,Pharma Demo SKU 002,PHARMA,MEDICINE,UNIT,121.36,225.86,INR,140,5,730,true,INTERMITTENT,true
SKU-PHA-003,TEN-ACME-PHARMA,Pharma Demo SKU 003,PHARMA,MEDICINE,UNIT,54.87,368.49,INR,450,10,365,true,WEATHER_SENSITIVE,true
SKU-PHA-004,TEN-ACME-PHARMA,Pharma Demo SKU 004,PHARMA,MEDICINE,UNIT,46.2,896.38,INR,480,100,540,true,WEATHER_SENSITIVE,true
SKU-SUP-005,TEN-FRESH-MART,Supermarket Demo SKU 005,SUPERMARKET,GROCERY,UNIT,621.42,943.65,INR,50,5,540,true,PROMOTION_SENSITIVE,true
SKU-SUP-006,TEN-FRESH-MART,Supermarket Demo SKU 006,SUPERMARKET,GROCERY,UNIT,232.34,864.93,INR,270,5,180,true,ERRATIC,true
SKU-SUP-007,TEN-FRESH-MART,Supermarket Demo SKU 007,SUPERMARKET,GROCERY,UNIT,13.65,651.4,INR,310,50,730,true,WEATHER_SENSITIVE,true
SKU-SUP-008,TEN-FRESH-MART,Supermarket Demo SKU 008,SUPERMARKET,GROCERY,UNIT,496.52,1022.86,INR,430,50,365,true,WEATHER_SENSITIVE,true
SKU-MER-009,TEN-URBAN-TRADE,Merchandise Demo SKU 009,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,75.03,887.39,INR,270,100,,false,STABLE,true
SKU-MER-010,TEN-URBAN-TRADE,Merchandise Demo SKU 010,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,18.74,630.81,INR,240,50,,false,INTERMITTENT,true
SKU-MER-011,TEN-URBAN-TRADE,Merchandise Demo SKU 011,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,121.48,971.66,INR,180,10,,false,WEATHER_SENSITIVE,true
SKU-MER-012,TEN-URBAN-TRADE,Merchandise Demo SKU 012,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,106.25,526.34,INR,140,100,,false,PROMOTION_SENSITIVE,true
